UNIDADE_DA_FEDERACAO;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_DO_REGISTRO;CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO
MG;Araguari;MG0007714;Ativo;**.***.790/***-**;CJ SELECTA S.A.;CJ SELECTA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
PR;Araucária;PR0033383;Ativo;**.***.892/***-**;gpc quimica s.a;GPC QUIMICA S/A;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MS;Dourados;MS0011100;Ativo;**.***.059/***-**;FERTIPOL INDUSTRIA, COMERCIO E REPRESENTAÇÕES LTDA;ADUBOS FERTIPOL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SP;São Paulo;SP0030317;Ativo;**.***.166/***-**;METACHEM INDUSTRIAL E COMERCIAL LTDA;METACHEM;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MG;Martins Soares;MG0029807;Ativo;**.***.911/***-**;FERTIPAR SUDESTE - ADUBOS E CORRETIVOS AGRÍCOLAS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SP;São Bernardo do Campo;SP0017612;Ativo;**.***.433/***-**;carbono química ltda.;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Pelotas;RS0033154;Ativo;**.***.616/***-**;OUROFÉRTIL FERTILIZANTES LTDA;OUROFÉRTIL FERTILIZANTES LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SC;Itajaí;SC0008648;Ativo;**.***.099/***-**;MUNDIAL IMPORTACAO E EXPORTACAO LTDA;MUNDIAL IMPORTAÇÃO E EXPORTAÇÃO EIRELI;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
SP;Itapetininga;SP0027774;Ativo;**.***.859/***-**;NUTRIEN SOLUÇÕES AGRÍCOLAS LTDA.;NUTRIEN AG SOLUTIONS;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SC;Pomerode;SC0003930;Ativo;**.***.521/***-**;LINK COMERCIAL IMPORTADORA E EXPORTADORA LTDA;Link Comercial;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
TO;Xambioá;TO0005142;Ativo;**.***.452/***-**;VOTORANTIM CIMENTOS N/NE S/A;VOTORANTIM CIMENTOS;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
PR;Alexandra;PR0013420;Ativo;**.***.175/***-**;FERTILIZANTES HERINGER S.A.;FERTILIZANTES HERINGER S.A.;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTOS A GRANEL PARA COMERCIALIZAÇÃO EM EMBALAGENS PRÓPRIAS
SP;Santos;SP0033006;Ativo;**.***.402/***-**;ADM DO BRASIL LTDA;ADM;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Rio Grande;RS0001550;Ativo;**.***.713/***-**;TIMAC AGRO INDÚSTRIA E COMÉRCIO DE FERTILIZANTES LTDA;TIMAC AGRO INDÚSTRIA E COMÉRCIO DE FERTILIZANTES LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CONDICIONADOR DE SOLO
SP;São Paulo;SP0001460;Ativo;**.***.723/***-**;m cassab comercio e industria ltda;m cassab comercio e industria ltda;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP;Caieiras;SP0063851;Ativo;**.***.599/***-**;ABIM COMERCIO EXTERIOR & LOGISTICA LTDA.;ABIMCOMEX;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
SP;Paulínia;SP0022888;Ativo;**.***.175/***-**;fertilizantes heringer s.a; Fertilizantes Heringer S/A;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
SP;São Paulo;SP0033677;Ativo;**.***.353/***-**;haifa quimica do brasil ltda;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SC;Itajaí;SC0002917;Ativo;**.***.908/***-**;trust imposrtação e exportação eireli;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
PE;Cabo de Santo Agostinho;SC0001147;Ativo;**.***.574/***-**;COLUMBIA TRADING S/A;COLUMBIA TRADING;FERTILIZANTE, INOCULANTE E CORRETIVO;EXPORTADOR;PRODUTO EXPORTADO EMBALADO
MG;Uberlândia;MG0028762;Ativo;**.***.117/***-**;PARANAIBA FERTILIZANTES INDUSTRIA E COMERCIO LTDA;Adubos Paranaiba;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
BA;Juazeiro;RS0048917;Ativo;**.***.332/***-**;mk quimica do brasil ltda;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Joinville;SC0014206;Ativo;**.***.786/***-**;DAAS DISTRIBUICAO E COMERCIO LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
PR;Cambé;PR0016225;Ativo;**.***.482/***-**;RIZOBACTER DO BRASIL LTDA.;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP;São Paulo;SP0041548;Ativo;**.***.303/***-**;QUARKS COMERCIAL IMPORTADORA LTDA;QUARKS;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
