UNIDADE_DA_FEDERACAO,MUNICIPIO,NUMERO_REGISTRO_ESTABELECIMENTO,CNPJ,RAZAO_SOCIAL,NOME_FANTASIA,AREA_ATUACAO,ATIVIDADE,CLASSIFICACAO
TO,Paraíso do Tocantins,TO0008940,**.***.118/***-**,DREYMOOR TOCANTINS FERTILIZANTES LTDA,Dreymoor Fertilizantes,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MS,Paranaíba,MS0011924,**.***.646/***-**,COOPERATIVA AGROPECUARIA DE PARAPUA,Cooperativa Agropecuaria de Parapua,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Araporã,MG0018635,**.***.434/***-**,GEN INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,GEN FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
MG,Araporã,MG0018635,**.***.434/***-**,GEN INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,GEN FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTOS A GRANEL PARA COMERCIALIZAÇÃO EM EMBALAGENS PRÓPRIAS
SP,Elias Fausto,SP0048410,**.***.505/***-**,ANTARES RECICLAGEM LTDA,Antares Reciclagem,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MG,Uberaba,MG0016551,**.***.897/***-**,SINAGRO PRODUTOS AGROPECUÁRIOS S A,SINAGRO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Santa Cruz do Rio Pardo,SP0049999,**.***.287/***-**,"BUSSADORI, GARCIA & CIA LTDA",AGRO 100,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Coronel Freitas,SC0016578,**.***.080/***-**,DANIELA CAVASOTTO CERIOLLI ME,LUMA HORTA & JARDIM,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
BA,Luís Eduardo Magalhães,BA0008605,**.***.251/***-**,ALFA TECH BRASIL FERTILIZANTES LTDA,ALFA TECH BRASIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SE,Aracaju,SE0002950,**.***.561/***-**,LAS COMERCIO DE ADUBOS LTDA,BIOAGRO SOLUÇÕES AGROPECUARIAS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Assis,SP0050571,**.***.041/***-**,AGRO SPI COMPANHIA BRASILEIRA LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Senador Canedo,GO0009300,**.***.522/***-**,IMPORT AGRO INDUSTRIA IMPORTACAO E EXPORTACAO DE PRODUTOS AGROPECUARIOS LTDA,AGRIPON E AGRIPON BRASIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
RJ,Rio de Janeiro,RJ0017876,**.***.822/***-**,ORGANOSOLO BIOTECNOLOGIA AGROAMBIENTAL LTDA,Organosolo,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CONDICIONADOR DE SOLO
